"year";"mean_january_temperature"
1918;21.28312
1919;20.80306
1920;20.16453
1921;22.70373
1922;21.22237
1923;20.09965
1924;19.14215
1925;20.5936
1926;20.30362
1927;21.85151
1928;22.88721
1929;21.43866
1930;20.89352
1931;19.50952
1932;22.49672
1933;19.3581
1934;21.39039
1935;20.60311
1936;21.22885
1937;19.88078
1938;20.89706
1939;21.55445
1940;21.19667
1941;20.35164
1942;22.20652
1943;21.96479
1944;22.29031
1945;21.47108
1946;21.62596
1947;22.08367
1948;20.43446
1949;19.96397
1950;20.93899
1951;23.60298
1952;21.2033
1953;21.97079
1954;23.17419
1955;21.10618
1956;21.29011
1957;21.39687
1958;19.61631
1959;24.0197
1960;24.18725
1961;24.0289
1962;21.96748
1963;22.29035
1964;20.91558
1965;19.33538
1966;21.36464
1967;21.09643
1968;21.50294
1969;22.48355
1970;20.91294
1971;21.05478
1972;20.50665
1973;23.53877
1974;23.43563
1975;20.5647
1976;22.49995
1977;22.01594
1978;21.9257
1979;23.49015
1980;20.02918
1981;23.01609
1982;22.87454
1983;20.55171
1984;21.81581
1985;20.53211
1986;19.868
1987;21.30335
1988;24.24811
1989;22.94844
1990;23.07753
1991;22.79981
1992;19.33888
1993;23.61973
1994;21.19051
1995;21.10013
1996;20.74816
1997;22.30651
1998;22.36734
1999;21.47727
2000;21.22935
2001;23.28069
2002;20.26121
2003;25.00033
2004;21.13215
2005;22.0968
2006;22.01953
2007;22.907
2008;24.08689
2009;23.66424
2010;24.08727
2011;22.46764
2012;23.71315
2013;23.91611
2014;23.47714
2015;21.48706
2016;22.48082
2017;23.03575
